Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,,Wednesday Books,9781250857439,60784546,hardcover,read,,0,,No,357,2023,2023,4.19,United States of America,female,English,Romance
Reminders of Him,Colleen Hoover,,Montlake,,58341222,digital,read,,0,,No,335,2022,2022,4.37,United States of America,female,English,Fiction
"The Way I Used to Be (The Way I Used to Be, #1)",Amber Smith,,Margaret K. McElderry Books,,23546634,digital,read,2023/10/02,5,,No,385,2016,2016,4.14,United States of America,female,English,Fiction
Das schwarze Element 2 (Das schwarze Element #2),Nicole Böhm,,Arkani Verlag,,186098483,digital,read,2023/09/24,4,,No,250,2023,,4.35,Germany,female,German,Fiction
Let's be bold (Be-Wild-Serie #2),Nicole Böhm,Anabelle Stehl,Mira Taschenbuch,9783745703696,63141576,paperback,read,2023/09/22,5,,No,400,2023,2023,4.25,Germany,female,German,Romance
"Caraval (Caraval, #1)",Stephanie Garber,,Flatiron Books,9781250095251,27883214,hardcover,read,2023/09/18,3,,No,407,2017,2016,3.98,United States of America,female,English,Fantasy
"Love, Theoretically",Ali Hazelwood,,Little Brown Books,9781408725795,61326735,paperback,read,2023/09/12,3,,No,389,2023,2023,4.10,Italy,female,English,Romance
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,,Entangled: Red Tower Books,9781649374042,61431922,hardcover,read,2023/09/10,4,,No,517,2023,2023,4.57,United States of America,female,English,Dragons
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,Atria Books,9781501139239,32620332,hardcover,read,2023/09/10,3,,No,389,2017,2017,4.41,United States of America,female,English,Fiction
"Das schwarze Element 1 (Das schwarze Element, #1)",Nicole Böhm,Arkani-Verlag,Arkani Verlag,9783910712003,123021893,digital,read,2023/06/16,3,,No,232,2023,,4.07,Germany,female,German,Romance
"Stealing Infinity (Gray Wolf Academy-Reihe, #1)",Alyson Noel,Michelle Landau,dtv,9783423764209,74836213,digital,read,2023/04/14,3,,No,563,2023,2022,3.74,United States of America,female,German,Fantasy
They Never Learn,Layne Fargo,,Gallery/Scout Press,9781982132026,50892240,hardcover,to-read,,0,,No,378,2020,2020,3.93,United States of America,female,English,Thriller
"Let's be wild (Be-Wild-Serie, #1)",Nicole Böhm,Anabelle Stehl,Mira Taschenbuch,9783745703450,63141569,paperback,read,2023/03/25,4,,No,400,2023,2023,4.07,Germany,female,German,New Adult
