Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Sex and Rage,Eve Babitz,,Counterpoint,9781619029354,32332902,paperback,to-read,,,,No,256,2017,1979,3.58,United States of America,female,English,Fiction
Ariadne,Jennifer Saint,,Flatiron Books,9781250773586,54860614,hardcover,read,2022/09/09,,,No,308,2021,2021,3.80,United Kingdom,female,English,Mythology
Wo Milch und Honig fließen,C Pam Zhang,Eva Regul (Translator),S. Fischer,9783103975437,180493845,hardcover,read,2024/05/05,4.0,,Yes,272,2024,2023,3.55,"United States of America, People's Republic of China",female,German,Fiction
"FRAUEN LITERATUR: Abgewertet, vergessen, wiederentdeckt",Nicole Seifert,,Kiepenheuer & Witsch GmbH,9783462002362,58403473,hardcover,read,2022/10/14,,,Yes,224,2021,2021,4.65,Germany,female,German,Nonfiction
Die Stadt,Valerian Pidmohylny,,Guggolz Verlag,9783945370353,60654374,hardcover,read,2022/09/05,,,Yes,416,2022,1927,4.31,"Soviet Union, Ukraine",male,German,Fiction
Aufrappeln,Judith Poznan,,DuMont Buchverlag,9783832182038,195588932,hardcover,read,2023/09/26,,,No,208,2023,,3.70,Germany,female,German,German Literature
The Last Piece of His Heart,Emma Scott,,LYX,9783736317987,59464717,paperback,read,2023/09/03,,,No,544,2023,2021,4.44,United States of America,female,German,Romance
Die Stille der Frauen,Pat Barker,Larissa Rabe (Translator),Lago,9783957611956,56604724,hardcover,read,2023/10/01,5.0,,No,408,2020,2018,3.90,United Kingdom,female,German,Historical Fiction
Heartstopper Volume 1,Alice Oseman,,Graphix,9781338617436,50160515,paperback,read,2022/05/02,5.0,,No,288,2020,2018,4.46,United Kingdom,female,English,Graphic Novels
Wenn ich euch verraten könnte,Lea Draeger,,Hanser,9783446272866,196215901,hardcover,read,2023/11/07,,,No,0,2022,,0.0,Germany,female,German,N/A
Wünschen: Roman,Chukwuebuka Ibeh,,Fischer,9783103975987,212016945,hardcover,read,2024/06/01,5.0,,No,320,2024,,4.17,Nigeria,male,German,Fiction
Mitten im Sommer,Ana Iris Simón,,Hoffmann und Campe,9873455014822,103416131,hardcover,did-not-finish,,,,No,256,2022,2020,3.55,Spain,female,German,Nonfiction
The Girl in the Love Song,Emma Scott,,LYX,9783736317642,59464703,paperback,read,2023/10/19,,,No,511,2022,2020,4.13,United States of America,female,German,Romance
Endling,Jasmin Schreiber,,Eichborn,9783751748377,136688607,digital,read,2024/02/13,2.0,<div>Sehr weird.&nbsp;</div>,No,337,2023,2023,3.77,Germany,female,German,Audiobook
The Bread the Devil Knead,Lisa Allen-Agostini,,Myriad Editions,9781912408986,57809811,digital,to-read,,,,No,277,2021,2021,4.03,Trinidad and Tobago,female,English,Fiction
Tot oder lebendig,Ariana Zustra,,Frankfurter Verlagsanstalt,9783627003128,202965260,hardcover,read,2023/11/18,,,No,250,2023,,4.16,Germany,female,German,age-new-adult
Prana Extrem,Joshua Groß,,Matthes & Seitz,9783751800860,61739043,hardcover,read,2022/10/18,,,Yes,301,2022,2022,4.02,Germany,male,German,German Literature
Von Frauen und Salz,Gabriela Garcia,,Claassen-Verlag,9783546100113,72025824,hardcover,read,2023/09/24,,,No,0,2022,2021,3.70,United States of America,female,German,Fiction
Quecke,Petre M. Andreevski,,Guggolz,9783945370131,36203451,hardcover,read,2022/03/10,4.5,,Yes,445,2017,1980,4.03,North Macedonia,male,German,Fiction
"Morgen, morgen und wieder morgen",Gabrielle Zevin,Sonia Bonné (Translator),Eichborn,9783847901297,64684603,hardcover,read,2023/09/06,4.5,,Yes,560,2023,2022,4.16,United States of America,female,German,Fiction
Dunkelblum,Eva Menasse,,Kiepenheuer&Witsch,9783462047905,58643185,hardcover,read,2023/01/30,5.0,,No,528,2021,2021,3.79,Austria,female,German,Fiction
Never Let Me Go,Kazuo Ishiguro,,Vintage Books ,9781400078776,59913716,paperback,to-read,,,,No,288,2021,2005,3.85,"Japan, United Kingdom",male,English,Fiction
"Alles, was du für mich bist: Everything for you. Roman",Nora Welling,,Lübbe Verlag,9783785727188,57942533,paperback,read,2023/08/23,,,No,347,2021,,4.05,Germany,female,German,Romance
Sommer in Wien,Petra Hartlieb,,DuMont Buchverlag,,45833937,paperback,read,2022/09/21,,,Yes,173,2019,,3.93,"Austria, Germany",female,German,Fiction
Frauen: Roman,Marilyn French,,rororo,3499149540,603164,paperback,currently-reading,,,,No,581,2004,1977,3.99,United States of America,female,German,Fiction
Happy All the Time,Laurie Colwin,,Harpperen,9780060955328,164408,paperback,to-read,,,,No,224,2000,1978,3.86,United States of America,female,English,Fiction
Atalanta,Jennifer Saint,,Wildfire,9781472292155,61152904,hardcover,read,2023/12/02,,,Yes,357,2023,2023,3.79,,female,English,Mythology
I'm a Fan,Sheena Patel,,Rough Trade Books,9781914236150,60470233,hardcover,to-read,,,,No,204,2022,2022,3.36,,female,English,Fiction
Mr. Loverman,Bernardine Evaristo,,Penguin,9780241145784,58745374,paperback,read,2023/07/05,4.5,,No,307,2020,2013,4.20,United Kingdom,female,English,Fiction
Der Pakt der Bücher,Kai Meyer,,Argon Sauerländer Audio,9783839841877,52024065,audio,read,2022/03/17,3.5,,No,,2018,2018,4.05,Germany,male,German,Fantasy
Blutbuch,Kim de l'Horizon,,DuMont Buchverlag,9783832182083,60912431,hardcover,read,2022/12/31,,,Yes,336,2022,2022,3.90,Switzerland,non-binary,German,Queer
Das Chaos eines Augenblicks: Roman,Becky Hunter,Becky Hunter (Translator),Droemer,9783426309438,128610355,paperback,read,2023/10/14,,,No,337,2023,,3.95,United Kingdom,female,German,Fiction
Das Geheimnis meines Erfolgs: Roman,Margit Mössmer,,Leykam,9783701182688,134818165,hardcover,read,2024/01/10,3.0,,No,288,2023,,4.48,Austria,female,German,N/A
Unlearn Patriarchy,"Lisa Jaspers, Naomi Ryland, Silvie Horch","Madeleine Alizadeh, Teresa Bücker, Kübra Gümüşay, Emilia Roig, Kristina Lunz",Ullstein,9783550202193,61379879,hardcover,read,2023/03/14,,,Yes,352,2022,2022,4.30,Germany,,German,Feminism
When You Come Back to Me,Emma Scott,,LYX,9783736318106,59464710,paperback,read,2023/07/31,,,No,560,2022,2020,4.45,United States of America,female,German,Romance
Mucksmäuschenstill,Coco Zinva,,Suhrkamp,,25273204,,read,2023/01/09,,,Yes,342,2015,,4.56,Germany,,German,Romance
The Talented Mr Ripley,Patricia Highsmith,, Virago Press Ltd,9780349006963,25867463,hardcover,to-read,,,,No,352,2015,1955,3.94,United States of America,female,English,Fiction
Kurt Albert: Frei denken – frei klettern – frei sein,Tom Dauer,,Tyrolia,9783702238971,55289019,hardcover,read,2022/01/30,4.0,,No,438,2020,,4.57,Germany,male,German,N/A
"Die Wut, die bleibt",Mareike Fallwickl,,Rowohlt Verlag GmbH,9783498002961,60771637,hardcover,read,2023/10/06,5.0,,No,384,2022,2022,4.30,Austria,female,German,Feminism
Von Paul Zu Pedro,Franziska Gräfin zu Reventlow,,Europäischer Hochschulverlag GmbH & Co. KG,9783862671403,16267101,paperback,read,2022/04/14,,,Yes,92,2015,1912,3.80,Germany,female,German,Classics
Stadt der Engel oder The Overcoat of Dr. Freud,Christa Wolf,,Suhrkamp,9783518420508,8527366,,read,2022/05/10,,,Yes,414,2010,2010,3.83,"Germany, German Democratic Republic, Poland",female,German,Fiction
Kleine Feuer überall,Celeste Ng,Brigitte Jakobeit (Translator),dtv Verlagsgesellschaft,9783423281560,36641360,hardcover,read,2024/04/09,5.0,,No,384,2018,2017,4.08,United States of America,female,German,Fiction
Die Stellung,Meg Wolitzer,,DuMont Buchverlag,9783832197995,25796642,hardcover,read,2022/03/20,2.25,,No,368,2015,2005,3.36,United States of America,female,German,Fiction
Die rote Herzogin,Svetlana Lavochkina,Diana Feuerbach (Translator),Voland & Quist,9783863913236,60428711,hardcover,read,2022/09/15,,,No,128,2022,,3.07,"Ukraine, Soviet Union, Ukrainian Soviet Socialist Republic",female,German,N/A
Stiller: Roman,Max Frisch,,Suhrkamp,351836605X1400,128752735,paperback,read,2022/12/03,,,Yes,448,1973,1954,4.03,Switzerland,male,German,Fiction
Eine Frage der Chemie,Bonnie Garmus,"Klaus Timmermann (Translator), Ulrike Wasel (Translator)",Piper,9783492071093,60374507,hardcover,read,2023/12/28,,,Yes,462,2022,2022,4.29,United States of America,female,German,Fiction
Das Unerwartete,Joyce Carol Oates,Silvia Morawetz (Translator),Ecco,9783753000671,63327361,hardcover,read,2023/04/05,,,No,381,2022,2021,3.45,United States of America,female,German,Short Stories
RCE #RemoteCodeExecution,Sibylle Berg,,Kiepenheuer & Witsch,9783462001648,59806279,hardcover,did-not-finish,,,,No,695,2022,2022,3.76,"Switzerland, Germany, German Democratic Republic",female,German,Science Fiction
Frauen Literatur Geschichte: Schreibende Frauen Vom Mittelalter Bis Zur Gegenwart,,,J.B. Metzler,9783476015433,15613435,hardcover,to-read,,,,No,772,1998,1985,3.00,,,German,Feminism
Aufruhr der Meerestiere: Roman,Marie Gamillscheg,,Luchterhand Literaturverlag,9783630875620,61769475,hardcover,read,2022/10/10,,,Yes,320,2022,,3.20,Austria,female,German,Fiction
A Whisper Around Your Name,Emma Scott,,LYX Verlag,9783736319783,63233003,paperback,read,2024/02/29,2.0,,No,416,2023,2016,4.03,United States of America,female,German,Romance
Dein Taxi ist da,Priya Guns,,Blumenbar,9783351051129,63343818,hardcover,read,2023/08/19,,,Yes,320,2023,2023,3.28,"Sri Lanka, Canada",female,German,Fiction
Heartstopper Volume 3,Alice Oseman,,Hodder Children's Books,9781444952773,44779280,paperback,read,2022/05/02,5.0,,No,380,2020,2020,4.57,United Kingdom,female,English,Graphic Novels
Mindset,Sebastian Hotz,,Kiepenheuer & Witsch,9783462002843,63327166,hardcover,read,2024/03/03,4.0,,No,288,2023,2023,3.44,Germany,male,German,Audiobook
"Der Ort, an dem die Reise endet",Yvonne Adhiambo Owuor,,DuMont Buchverlag,9783832198206,28804673,hardcover,read,2022/09/19,,,No,512,2016,2013,3.76,Kenya,female,German,Africa
Unsettled Ground,Claire Fuller,,Fig Tree,9780241457443,53341634,hardcover,read,2023/04/09,,,No,289,2021,2021,3.79,United Kingdom,female,English,Fiction
In Flammen,Megha Majumdar,Yvonne Eglinger (Translator),Piper,9783492070928,58867046,hardcover,read,2023/05/13,4.75,,Yes,336,2021,2020,3.73,India,female,German,Fiction
Drei Kameradinnen,Shida Bazyar,,Kiepenheuer & Witsch,9783462052763,56438845,hardcover,did-not-finish,,,,No,350,2021,2021,4.27,Germany,female,German,Fiction
Demon Copperhead,Barbara Kingsolver,,Harper,9780063251922,75678204,hardcover,to-read,,,,No,546,2022,2022,4.51,United States of America,female,English,Fiction
Heartstopper Volume 2,Alice Oseman,,Hodder Children's Books,9781444951400,43307358,paperback,read,2022/05/02,5.0,,No,320,2019,2019,4.54,United Kingdom,female,English,Graphic Novels
"Detransition, Baby",Torrey Peters,,Ullstein,9783550202049,59725736,hardcover,read,2023/05/25,,,Yes,368,2022,2021,3.95,United States of America,female,German,Fiction
Als wir Vögel waren,Ayanna Lloyd Banwo,Michaela Grabinger (Translator),Diogenes,9783257072242,77587844,hardcover,read,2023/08/29,,,No,352,2023,2022,3.80,Trinidad and Tobago,female,German,Fiction
Die Entbehrlichen,Ninni Holmqvist,Angelika Gundlach (Translator),Fahrenheit,9783940813008,4543735,hardcover,to-read,,,,No,269,2008,2006,3.75,Sweden,female,German,Fiction
Behindert und stolz: Warum meine Identität politisch ist und Ableismus uns alle etwas angeht,Luisa L'Audace,,,9783868476262,,audio,read,2023/08/21,,,No,,2022,2022,4.74,Germany,female,German,N/A
Zeremonie des Lebens,Sayaka Murata,,Aufbau Verlag,9783351039318,60869415,hardcover,read,2023/12/20,,,No,288,2022,2019,3.75,Japan,female,German,Short Stories
The Peace That Is You,Emma Scott,,LYX Verlag,9783736320208,63233029,paperback,read,2024/05/30,,,No,512,2023,2017,4.24,United States of America,female,German,Romance
Die neue Wildnis,Diane Cook,Astrid Finke (Translator),"Wilhelm Heyne Verlag, München",9783453321588,59993803,paperback,read,2023/04/30,,,No,544,2022,2020,3.68,United States of America,female,German,Fiction
Jenseits von Eden,John Steinbeck,,Dtv,9783423108102,,paperback,read,2022/06/15,,,Yes,728,1997,1952,4.42,United States of America,male,German,Fiction
Die Tigerfrau,Téa Obreht,,Rowohlt,9783871347122,13540576,paperback,read,2023/06/02,,,Yes,416,2012,2011,3.42,United States of America,female,German,Fiction
Adas Raum,Sharon Dodua Otoo,,Fischer,9783596299386,63290802,paperback,read,2023/05/24,,,Yes,320,2022,2021,3.51,United Kingdom,female,German,Historical Fiction
Wie schön wir waren,Imbolo Mbue,Maria Hummitzsch (Translator),Kiepenheuer & Witsch,9783462054705,59051937,hardcover,read,2022/06/25,,,No,448,2021,2021,3.95,"United States of America, Cameroon",female,German,Fiction
Der Geldkomplex: Meinen Gläubigern zugeeignet,Franziska Gräfin zu Reventlow,,CreateSpace Independent Publishing Platform,9781482666687,18827408,paperback,read,2022/03/27,3.75,,Yes,72,2013,1916,3.11,Germany,female,English,classics
People Person,Candice Carty-Williams,,Blumenbar,9783351051105,60869431,hardcover,read,2023/10/24,,,No,320,2022,2022,3.70,United Kingdom,female,German,Fiction
Normale Menschen,Sally Rooney,Zoë Beck (Translator),Luchterhand Verlag,9783641205614,54475118,digital,read,2023/08/11,,,No,42,2020,,4.10,Republic of Ireland,female,German,Fiction
Schlafes Bruder,Robert Schneider,,Reclam,9783379015189,1319778,paperback,read,2022/06/27,,,No,204,2004,1992,3.79,Austria,male,German,Fiction
Forever Right Now,Emma Scott,Inka Marter (Translator),LYX,9783736315334,56252174,paperback,read,2023/09/11,,,No,448,2021,2017,4.21,United States of America,female,German,Romance
Der alte Mann und das Meer,Ernest Hemingway,,Rowohlt,,1328803,paperback,read,2022/09/19,,,No,144,,1952,3.80,United States of America,male,German,Classics
Menschen im Hotel,Vicki Baum,,Amereon Limited,9780891904311,733917,digital,read,2022/11/06,,,Yes,288,1980,1929,3.87,"United States of America, Austria",female,English,Fiction
Das Palais muss brennen,Mercedes Spannagel,,Kiepenheuer&Witsch,9783462055092,54625531,hardcover,read,2023/10/30,,,No,192,2020,2020,3.26,Austria,female,German,Contemporary
Marie Antoinette. Bildnis eines mittleren Charakters: Die ebenso dramatische wie tragische Biographie von Marie Antoinette,Stefan Zweig,,e-artnow,9788027315338,39879086,paperback,read,2022/01/16,4.25,,No,268,2018,1932,4.38,"Austria, Austria-Hungary",male,other,Biography
Jägerin und Sammlerin,Lana Lux,,Aufbau,9783351037987,52049996,hardcover,read,2024/03/09,4.0,,No,304,2020,,3.97,"Ukraine, Germany",female,German,Fiction
Be My Tomorrow,Emma Scott,,LYX,9783736315327,56252257,paperback,read,2024/04/30,2.0,,No,448,2021,2017,4.32,United States of America,female,German,Romance
Der Kaninchenstall,Tess Gunty,Sophie Zeitz (Translator),Kiepenheuer & Witsch,9783462003000,128616226,hardcover,read,2024/03/24,3.0,,No,390,2023,2022,3.52,United States of America,female,German,Fiction
"Das Paradies ist weiblich: 20 Einladungen in eine Welt, in der Frauen das Sagen haben",Tanja Raich,,Kein & Aber,9783036958705,60422494,hardcover,read,2023/09/19,,,No,256,2022,,3.61,Austria,female,German,Feminism
Transit,Anna Seghers,,Süddeutsche Zeitung Bibliothek,9783866155244,16004417,hardcover,read,2022/02/28,4.25,,Yes,290,2007,1944,3.70,"Hungary, Germany, German Democratic Republic",female,German,Fiction
Das Deutsche als Männersprache : Aufsätze und Glossen zur feministischen Linguistik,Luise F. Pusch,,Suhrkamp,9783518384152,56085934,paperback,read,2022/03/14,3.5,,No,202,2017,1984,4.14,"Germany, German Reich",female,German,Feminism
Dieser Beitrag wurde entfernt,Hanna Bervoets,Rainer Kersten (Translator),Hanser Berlin,3446275452,61393297,hardcover,read,2024/02/21,,,No,96,2022,2021,2.93,Netherlands,female,German,Fiction
Elektra,Jennifer Saint,,Wildfire,9781472273918,58254061,hardcover,read,2023/12/15,,,No,341,2022,2022,3.69,United Kingdom,female,English,Mythology
Dschinns,Fatma Aydemir,,Fischer,9783446269149,59425363,hardcover,read,2023/10/18,5.0,,Yes,368,2022,2022,4.58,Germany,female,German,Fiction
